"edibility","cap_shape","cap_surface","cap_color","bruises","odor","gill_attachement","gill_spacing","gill_size","gill_color","stalk_shape","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","veil_type","veil_color","ring_number","ring_type","spore_print_color","population","habitat"
"edible","convex","scaly","white","no","almond","notched","crowded","broad","brown","tapering","rooted","smooth","smooth","white","purple","partial","white","two","zone","black","scattered","wood"
"edible","flat","smooth","white","yes","anise","descending","close","broad","white","enlarging","rooted","scaly","scaly","cinnamon","purple","partial","orange","two","pendant","black","solitary","leaves"
"edible","flat","scaly","brown","no","fishy","free","close","broad","chocolate","tapering","equal","smooth","smooth","purple","gray","partial","white","b","sheathing","chocolate","scattered","grasses"
"edible","conical","smooth","buff","yes","almond","attached","distant","broad","pink","enlarging","rhizomorphs","fibrous","scaly","purple","purple","partial","brown","one","pendant","brown","clustered","grasses"
"poisonous","convex","fibrous","brown","yes","pungent","free","close","narrow","pink","enlarging","club","fibrous","smooth","red","red","partial","white","one","pendant","brown","abundant","grasses"
"edible","knobbed","fibrous","brown","no","none","free","distant","broad","gray","enlarging","equal","fibrous","fibrous","purple","purple","partial","white","one","pendant","white","several","paths"
"edible","sunken","smooth","yellow","no","spicy","free","close","narrow","white","enlarging","cup","smooth","smooth","white","purple","universal","white","two","none","yellow","scattered","meadows"
"edible","sunken","grooves","buff","yes","spicy","free","close","broad","brown","enlarging","cup","scaly","smooth","cinnamon","purple","partial","orange","two","pendant","buff","scattered","paths"
"edible","bell","smooth","brown","yes","anise","free","close","broad","black","enlarging","club","smooth","smooth","purple","gray","partial","white","one","flaring","chocolate","abundant","meadows"
"edible","flat","fibrous","red","no","creosote","free","close","narrow","yellow","enlarging","rhizomorphs","smooth","silky","purple","cinnamon","universal","white","one","pendant","buff","several","urban"
"edible","flat","scaly","pink","yes","fishy","free","close","narrow","white","enlarging","cup","smooth","smooth","purple","purple","universal","white","b","sheathing","black","numerous","waste"
"edible","conical","smooth","pink","no","anise","free","distant","narrow","brown","enlarging","cup","silky","smooth","purple","purple","partial","white","one","none","black","clustered","urban"
"edible","bell","scaly","white","yes","almond","notched","close","narrow","gray","enlarging","cup","smooth","smooth","purple","purple","universal","white","b","pendant","brown","abundant","meadows"
"edible","bell","smooth","green","yes","anise","free","close","narrow","white","tapering","club","silky","scaly","gray","purple","partial","white","b","pendant","chocolate","abundant","grasses"
"poisonous","sunken","scaly","white","no","creosote","notched","crowded","narrow","red","enlarging","equal","smooth","smooth","purple","brown","universal","yellow","b","pendant","black","scattered","urban"
"edible","sunken","scaly","white","yes","musty","free","crowded","broad","brown","enlarging","rhizomorphs","scaly","scaly","green","green","partial","orange","one","large","orange","solitary","paths"
"edible","sunken","smooth","white","yes","almond","free","close","broad","green","enlarging","cup","scaly","scaly","purple","purple","partial","white","two","pendant","buff","solitary","wood"
"edible","bell","smooth","purple","no","anise","free","close","narrow","black","tapering","club","silky","silky","purple","gray","partial","white","one","pendant","purple","abundant","wood"
"edible","flat","scaly","gray","no","fishy","free","close","narrow","red","enlarging","equal","smooth","smooth","gray","gray","partial","white","b","zone","chocolate","scattered","urban"
"edible","convex","scaly","gray","no","creosote","free","crowded","broad","purple","enlarging","rooted","fibrous","smooth","purple","purple","partial","brown","one","evanescent","buff","abundant","leaves"
"edible","convex","scaly","yellow","yes","almond","notched","crowded","broad","purple","tapering","rooted","smooth","smooth","purple","white","universal","yellow","one","sheathing","yellow","numerous","wood"
"edible","conical","scaly","white","yes","pungent","attached","close","broad","chocolate","enlarging","equal","smooth","scaly","purple","purple","partial","orange","b","flaring","brown","scattered","meadows"
"poisonous","flat","smooth","brown","yes","pungent","attached","close","broad","white","enlarging","missing","fibrous","smooth","pink","purple","partial","white","one","pendant","green","several","meadows"
"edible","convex","scaly","red","yes","anise","attached","close","broad","brown","enlarging","rhizomorphs","fibrous","fibrous","white","white","partial","brown","one","cobwebby","black","solitary","meadows"
"poisonous","conical","scaly","pink","no","anise","free","distant","narrow","pink","enlarging","cup","silky","smooth","buff","purple","partial","white","one","pendant","brown","clustered","grasses"
"edible","convex","smooth","white","yes","anise","free","distant","broad","black","enlarging","cup","smooth","silky","purple","purple","partial","white","one","pendant","white","clustered","wood"
"edible","convex","smooth","brown","yes","none","descending","close","broad","black","enlarging","cup","scaly","smooth","red","purple","partial","orange","one","pendant","purple","abundant","meadows"
"edible","flat","smooth","brown","no","musty","free","close","broad","brown","tapering","rooted","silky","scaly","green","green","partial","white","two","pendant","orange","numerous","paths"
"edible","bell","fibrous","green","yes","almond","attached","close","broad","white","enlarging","club","smooth","scaly","red","purple","partial","brown","b","pendant","orange","scattered","paths"
"edible","flat","smooth","pink","yes","almond","notched","crowded","broad","white","enlarging","rhizomorphs","smooth","scaly","cinnamon","purple","universal","white","two","sheathing","brown","solitary","paths"
"edible","convex","smooth","cinnamon","yes","spicy","notched","crowded","broad","white","tapering","cup","smooth","smooth","white","white","partial","yellow","one","sheathing","yellow","numerous","meadows"
"edible","knobbed","scaly","cinnamon","no","foul","notched","distant","narrow","chocolate","tapering","missing","smooth","smooth","purple","purple","universal","yellow","one","evanescent","green","several","grasses"
"edible","sunken","fibrous","pink","yes","spicy","attached","crowded","broad","green","enlarging","cup","fibrous","fibrous","white","white","partial","white","two","pendant","brown","numerous","meadows"
"poisonous","convex","smooth","white","yes","musty","attached","close","broad","buff","enlarging","rooted","fibrous","smooth","green","purple","partial","white","two","cobwebby","orange","scattered","urban"
"edible","bell","smooth","yellow","no","musty","notched","crowded","narrow","brown","tapering","cup","smooth","smooth","purple","purple","universal","yellow","one","pendant","brown","numerous","leaves"
"edible","sunken","fibrous","buff","no","none","free","close","broad","brown","enlarging","cup","fibrous","fibrous","purple","purple","partial","brown","one","cobwebby","brown","several","meadows"
"edible","conical","scaly","buff","yes","anise","attached","close","broad","black","enlarging","rhizomorphs","smooth","smooth","green","green","partial","white","two","pendant","orange","scattered","wood"
"edible","bell","scaly","brown","no","none","free","close","narrow","orange","enlarging","club","smooth","smooth","purple","purple","partial","white","b","pendant","purple","abundant","grasses"
"edible","knobbed","scaly","purple","yes","almond","free","distant","broad","gray","enlarging","missing","smooth","smooth","purple","purple","partial","yellow","one","sheathing","green","scattered","grasses"
"edible","sunken","smooth","yellow","yes","spicy","attached","close","broad","gray","enlarging","rhizomorphs","fibrous","smooth","white","white","partial","white","one","evanescent","yellow","scattered","urban"
"edible","bell","smooth","white","yes","almond","descending","close","broad","gray","enlarging","club","scaly","smooth","purple","gray","partial","white","one","pendant","black","scattered","urban"
"edible","convex","fibrous","brown","yes","spicy","free","crowded","broad","purple","enlarging","rooted","fibrous","fibrous","purple","white","partial","white","one","cobwebby","brown","numerous","paths"
"edible","bell","smooth","cinnamon","no","fishy","free","close","narrow","orange","enlarging","club","smooth","smooth","purple","gray","universal","white","one","pendant","chocolate","solitary","wood"
"edible","knobbed","fibrous","white","yes","pungent","attached","close","narrow","white","tapering","equal","smooth","smooth","purple","buff","universal","yellow","one","zone","black","solitary","urban"
"edible","bell","grooves","green","yes","anise","descending","distant","broad","brown","enlarging","missing","scaly","smooth","purple","purple","partial","orange","one","large","brown","scattered","grasses"
"edible","convex","scaly","white","no","foul","notched","distant","broad","gray","tapering","missing","smooth","smooth","purple","pink","universal","yellow","one","pendant","black","scattered","meadows"
"edible","convex","smooth","white","no","anise","free","crowded","narrow","buff","enlarging","rooted","smooth","smooth","purple","purple","partial","white","two","pendant","brown","scattered","paths"
"edible","convex","scaly","pink","yes","almond","free","close","narrow","gray","enlarging","cup","smooth","smooth","purple","gray","universal","yellow","one","sheathing","black","scattered","meadows"
"edible","convex","fibrous","cinnamon","yes","almond","attached","crowded","broad","gray","enlarging","rooted","fibrous","smooth","purple","green","partial","white","one","pendant","brown","numerous","paths"
"edible","convex","smooth","purple","no","musty","free","close","broad","black","enlarging","rooted","silky","silky","purple","green","partial","white","two","pendant","orange","numerous","leaves"
"edible","convex","scaly","cinnamon","no","none","free","distant","narrow","black","tapering","club","fibrous","fibrous","red","red","universal","white","one","evanescent","black","abundant","grasses"
"edible","sunken","scaly","pink","yes","almond","descending","crowded","broad","yellow","enlarging","rhizomorphs","smooth","smooth","purple","green","partial","white","one","pendant","brown","solitary","paths"
"poisonous","convex","smooth","white","yes","pungent","free","close","narrow","pink","tapering","rhizomorphs","smooth","silky","purple","white","universal","white","two","pendant","yellow","scattered","waste"
"edible","conical","scaly","white","no","foul","free","distant","narrow","brown","tapering","cup","fibrous","smooth","purple","pink","universal","white","one","evanescent","black","clustered","grasses"
"edible","bell","smooth","white","yes","musty","free","crowded","broad","white","enlarging","cup","fibrous","smooth","green","green","partial","white","two","evanescent","orange","solitary","grasses"
"edible","bell","grooves","yellow","yes","almond","descending","close","broad","black","enlarging","club","scaly","smooth","purple","brown","partial","orange","one","flaring","brown","several","wood"
"edible","flat","smooth","red","no","fishy","free","close","broad","brown","tapering","cup","smooth","smooth","gray","purple","partial","white","one","pendant","chocolate","scattered","grasses"
"edible","convex","scaly","white","no","foul","notched","distant","narrow","gray","enlarging","cup","smooth","smooth","pink","pink","universal","yellow","one","pendant","green","scattered","grasses"
"edible","sunken","fibrous","gray","yes","spicy","descending","close","broad","pink","tapering","rhizomorphs","smooth","smooth","gray","green","partial","orange","two","pendant","brown","solitary","wood"
"edible","bell","smooth","cinnamon","yes","anise","attached","close","broad","black","enlarging","cup","fibrous","smooth","purple","purple","partial","white","b","cobwebby","brown","abundant","meadows"
"edible","sunken","smooth","gray","no","anise","free","crowded","narrow","gray","tapering","cup","silky","smooth","cinnamon","purple","universal","white","two","none","brown","numerous","paths"
"edible","flat","smooth","brown","yes","almond","attached","close","broad","orange","enlarging","rhizomorphs","smooth","fibrous","purple","purple","partial","brown","one","evanescent","black","abundant","grasses"
"edible","knobbed","fibrous","brown","no","none","free","distant","broad","gray","tapering","missing","silky","smooth","buff","buff","universal","white","one","none","brown","scattered","grasses"
"edible","conical","grooves","pink","yes","anise","free","distant","broad","white","enlarging","cup","smooth","smooth","purple","buff","partial","white","one","flaring","black","scattered","wood"
"poisonous","convex","smooth","white","no","pungent","notched","crowded","narrow","purple","enlarging","rooted","smooth","smooth","purple","green","universal","white","two","zone","orange","numerous","grasses"
"edible","convex","scaly","pink","no","anise","free","close","broad","yellow","enlarging","cup","smooth","smooth","purple","green","universal","yellow","two","sheathing","black","solitary","paths"
"edible","convex","fibrous","brown","no","creosote","free","distant","narrow","pink","tapering","rooted","smooth","smooth","purple","cinnamon","universal","white","one","pendant","buff","numerous","wood"
"edible","bell","fibrous","purple","yes","creosote","attached","crowded","broad","gray","enlarging","rooted","fibrous","smooth","purple","cinnamon","partial","white","two","pendant","buff","numerous","meadows"
"poisonous","convex","smooth","white","no","foul","free","close","narrow","black","tapering","missing","silky","silky","pink","purple","universal","white","one","none","green","several","grasses"
"edible","flat","scaly","gray","yes","almond","free","close","narrow","white","tapering","equal","silky","smooth","purple","purple","universal","white","one","none","brown","several","wood"
"edible","bell","smooth","green","yes","fishy","descending","close","broad","black","enlarging","cup","smooth","scaly","purple","purple","partial","white","b","pendant","chocolate","numerous","grasses"
"edible","convex","grooves","brown","yes","creosote","free","crowded","narrow","brown","enlarging","rooted","scaly","scaly","cinnamon","cinnamon","partial","orange","two","pendant","brown","numerous","wood"
"edible","flat","fibrous","purple","yes","spicy","attached","distant","broad","white","enlarging","club","fibrous","smooth","gray","gray","partial","white","b","cobwebby","chocolate","several","wood"
"edible","sunken","grooves","yellow","yes","anise","free","crowded","broad","green","enlarging","rhizomorphs","smooth","scaly","green","green","partial","orange","one","large","orange","solitary","leaves"
"edible","sunken","fibrous","pink","no","creosote","notched","distant","narrow","white","tapering","rhizomorphs","smooth","smooth","cinnamon","purple","universal","yellow","one","pendant","purple","several","wood"
"edible","sunken","grooves","gray","yes","musty","descending","crowded","broad","green","enlarging","cup","smooth","scaly","green","green","partial","orange","one","pendant","black","solitary","grasses"
"edible","bell","smooth","cinnamon","yes","almond","free","close","narrow","black","tapering","cup","silky","smooth","purple","brown","partial","white","b","pendant","black","abundant","meadows"
"edible","convex","grooves","white","yes","spicy","descending","close","broad","purple","enlarging","rhizomorphs","scaly","scaly","white","white","partial","white","two","flaring","yellow","scattered","waste"
"edible","bell","fibrous","white","yes","anise","free","close","broad","white","enlarging","missing","fibrous","smooth","buff","buff","partial","white","one","pendant","black","several","grasses"
"edible","knobbed","scaly","white","no","foul","free","distant","narrow","brown","enlarging","cup","smooth","silky","purple","buff","universal","white","one","pendant","brown","scattered","waste"
"poisonous","knobbed","grooves","cinnamon","yes","pungent","free","close","broad","gray","enlarging","equal","scaly","scaly","purple","buff","partial","white","one","flaring","brown","several","urban"
"edible","bell","grooves","white","yes","none","descending","close","broad","white","enlarging","club","smooth","scaly","purple","purple","partial","white","one","flaring","purple","abundant","grasses"
"edible","knobbed","grooves","white","yes","almond","descending","distant","broad","gray","enlarging","cup","scaly","smooth","purple","purple","partial","white","one","pendant","white","numerous","grasses"
"poisonous","convex","grooves","buff","yes","foul","descending","distant","narrow","white","enlarging","cup","smooth","scaly","pink","purple","partial","white","one","pendant","black","clustered","meadows"
"edible","flat","grooves","white","yes","none","descending","close","broad","brown","enlarging","cup","scaly","scaly","purple","purple","partial","orange","b","pendant","black","scattered","meadows"
"edible","bell","fibrous","yellow","yes","anise","free","distant","broad","white","enlarging","cup","smooth","smooth","pink","purple","partial","white","one","pendant","green","numerous","waste"
"edible","knobbed","smooth","yellow","yes","pungent","free","distant","broad","brown","enlarging","cup","fibrous","smooth","purple","red","partial","orange","b","flaring","purple","abundant","grasses"
"edible","knobbed","smooth","white","yes","anise","free","close","narrow","gray","enlarging","missing","smooth","smooth","pink","purple","universal","white","one","pendant","green","numerous","wood"
"edible","flat","smooth","brown","no","none","free","close","narrow","pink","tapering","equal","smooth","smooth","gray","gray","partial","white","one","pendant","chocolate","scattered","wood"
"edible","convex","smooth","brown","yes","almond","free","close","broad","white","enlarging","equal","scaly","scaly","purple","purple","partial","white","b","large","purple","scattered","grasses"
"edible","convex","scaly","white","yes","creosote","free","crowded","narrow","purple","enlarging","cup","smooth","silky","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","fibrous","gray","no","musty","descending","close","broad","gray","enlarging","rooted","scaly","scaly","purple","purple","partial","orange","two","pendant","orange","several","waste"
"edible","convex","smooth","white","yes","almond","free","close","broad","brown","enlarging","rhizomorphs","silky","silky","brown","brown","partial","white","one","none","black","solitary","grasses"
"edible","conical","grooves","cinnamon","yes","creosote","free","crowded","broad","black","enlarging","cup","silky","smooth","purple","purple","universal","white","one","pendant","brown","scattered","urban"
"edible","bell","smooth","cinnamon","no","none","free","close","broad","orange","tapering","club","smooth","smooth","purple","purple","universal","yellow","one","pendant","purple","numerous","grasses"
"edible","convex","scaly","yellow","yes","musty","notched","crowded","narrow","gray","tapering","rooted","smooth","smooth","green","green","partial","white","one","pendant","black","numerous","urban"
"edible","flat","grooves","yellow","yes","foul","descending","distant","narrow","pink","enlarging","cup","smooth","smooth","pink","purple","partial","orange","one","pendant","green","several","leaves"
"edible","bell","scaly","yellow","no","anise","free","distant","broad","gray","enlarging","cup","smooth","smooth","purple","buff","universal","yellow","one","sheathing","brown","clustered","grasses"
"edible","convex","fibrous","brown","no","foul","attached","distant","broad","white","tapering","equal","fibrous","fibrous","pink","purple","partial","white","one","evanescent","green","several","grasses"
"edible","bell","fibrous","cinnamon","yes","anise","descending","distant","broad","brown","tapering","club","smooth","scaly","purple","red","partial","white","b","pendant","purple","abundant","wood"
"edible","convex","scaly","brown","yes","almond","descending","close","broad","buff","enlarging","rooted","scaly","scaly","purple","red","partial","orange","b","pendant","purple","numerous","meadows"
"edible","sunken","scaly","gray","yes","creosote","descending","distant","broad","green","tapering","rhizomorphs","scaly","fibrous","cinnamon","purple","partial","orange","one","flaring","black","scattered","grasses"
"edible","convex","fibrous","brown","no","musty","notched","close","narrow","gray","tapering","rhizomorphs","smooth","smooth","green","green","partial","white","two","pendant","orange","solitary","urban"
"edible","conical","scaly","pink","yes","none","free","distant","broad","brown","tapering","equal","fibrous","fibrous","purple","purple","partial","orange","one","large","green","clustered","leaves"
"edible","flat","smooth","brown","no","fishy","free","close","narrow","chocolate","enlarging","rhizomorphs","silky","scaly","purple","gray","universal","white","one","pendant","brown","abundant","paths"
"edible","conical","grooves","white","yes","almond","free","distant","broad","pink","enlarging","cup","scaly","smooth","pink","pink","partial","white","one","pendant","green","scattered","leaves"
"edible","flat","fibrous","buff","yes","almond","attached","close","broad","black","enlarging","equal","smooth","fibrous","purple","purple","partial","white","b","evanescent","black","scattered","grasses"
"edible","convex","smooth","gray","yes","anise","attached","close","broad","white","enlarging","equal","smooth","fibrous","purple","red","partial","white","b","cobwebby","black","scattered","paths"
"edible","sunken","grooves","pink","no","none","free","close","broad","gray","enlarging","equal","smooth","scaly","purple","gray","partial","orange","one","pendant","brown","several","waste"
"edible","flat","scaly","yellow","no","almond","free","close","narrow","chocolate","tapering","rhizomorphs","smooth","scaly","gray","gray","partial","yellow","b","sheathing","chocolate","solitary","urban"
"poisonous","convex","scaly","purple","yes","spicy","notched","crowded","narrow","buff","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","sheathing","yellow","numerous","paths"
"edible","convex","scaly","white","yes","almond","notched","distant","narrow","pink","enlarging","missing","smooth","smooth","purple","purple","partial","yellow","one","pendant","white","several","urban"
"edible","knobbed","fibrous","purple","yes","almond","attached","distant","broad","white","enlarging","cup","fibrous","fibrous","purple","buff","partial","white","one","evanescent","brown","scattered","urban"
"edible","convex","scaly","brown","no","foul","free","distant","narrow","chocolate","tapering","equal","smooth","smooth","purple","pink","universal","yellow","one","evanescent","brown","scattered","meadows"
"edible","sunken","scaly","gray","no","spicy","notched","crowded","broad","pink","tapering","equal","smooth","fibrous","purple","white","universal","yellow","two","sheathing","black","abundant","grasses"
"edible","bell","fibrous","brown","yes","none","attached","close","broad","black","tapering","club","fibrous","smooth","red","purple","partial","brown","b","evanescent","black","abundant","grasses"
"edible","flat","scaly","cinnamon","yes","almond","free","close","narrow","orange","enlarging","rhizomorphs","smooth","smooth","brown","purple","universal","yellow","one","pendant","black","abundant","paths"
"edible","convex","scaly","pink","yes","anise","free","close","broad","white","enlarging","cup","smooth","smooth","buff","purple","partial","white","one","large","black","numerous","paths"
"edible","conical","smooth","brown","no","foul","free","close","narrow","brown","tapering","cup","silky","silky","pink","pink","universal","white","one","pendant","black","clustered","urban"
"edible","conical","smooth","yellow","no","almond","free","close","broad","white","enlarging","rhizomorphs","smooth","smooth","pink","pink","universal","white","one","pendant","green","clustered","paths"
"edible","convex","fibrous","brown","yes","almond","attached","distant","narrow","pink","tapering","rooted","smooth","fibrous","purple","pink","partial","white","one","flaring","purple","clustered","wood"
"edible","bell","smooth","white","no","anise","free","close","broad","white","tapering","missing","smooth","silky","buff","purple","universal","white","one","none","brown","several","leaves"
"edible","flat","fibrous","yellow","no","almond","attached","distant","broad","red","enlarging","equal","smooth","smooth","purple","brown","partial","brown","one","evanescent","black","scattered","grasses"
"edible","convex","smooth","cinnamon","no","musty","free","crowded","narrow","purple","enlarging","rhizomorphs","silky","silky","purple","green","partial","white","one","pendant","orange","numerous","grasses"
"edible","conical","smooth","brown","yes","foul","free","distant","broad","pink","enlarging","cup","fibrous","fibrous","purple","purple","partial","brown","one","evanescent","green","clustered","paths"
"edible","conical","scaly","yellow","no","pungent","free","distant","narrow","brown","enlarging","cup","smooth","smooth","purple","purple","partial","white","one","none","black","clustered","grasses"
"edible","bell","fibrous","green","no","none","attached","close","narrow","black","enlarging","club","fibrous","smooth","red","purple","partial","brown","b","evanescent","purple","abundant","urban"
"edible","convex","fibrous","white","yes","anise","free","close","broad","gray","enlarging","cup","smooth","fibrous","purple","buff","partial","brown","one","evanescent","black","several","urban"
"edible","bell","scaly","white","no","anise","free","close","narrow","brown","tapering","cup","smooth","smooth","purple","purple","partial","white","one","zone","purple","scattered","grasses"
"edible","sunken","grooves","brown","no","foul","descending","distant","broad","pink","enlarging","cup","scaly","smooth","purple","pink","partial","orange","one","pendant","green","solitary","urban"
"edible","bell","smooth","yellow","yes","anise","attached","close","broad","brown","enlarging","club","fibrous","fibrous","red","purple","partial","white","one","cobwebby","purple","abundant","meadows"
"edible","conical","smooth","yellow","yes","pungent","free","distant","narrow","brown","tapering","cup","smooth","silky","purple","purple","partial","white","one","none","white","clustered","grasses"
"edible","flat","smooth","yellow","yes","almond","attached","close","broad","black","enlarging","cup","smooth","fibrous","gray","gray","partial","brown","b","evanescent","brown","scattered","grasses"
"poisonous","convex","smooth","brown","no","pungent","free","close","narrow","red","enlarging","equal","smooth","silky","red","purple","universal","white","b","none","purple","scattered","urban"
"edible","convex","smooth","purple","no","none","free","crowded","narrow","black","tapering","equal","fibrous","silky","purple","purple","partial","white","one","none","orange","numerous","grasses"
"edible","flat","smooth","yellow","yes","none","attached","close","broad","chocolate","enlarging","cup","smooth","smooth","purple","purple","partial","brown","b","cobwebby","black","scattered","meadows"
"edible","bell","scaly","white","yes","almond","free","close","broad","gray","enlarging","club","smooth","fibrous","gray","purple","partial","white","one","pendant","brown","abundant","leaves"
"edible","flat","fibrous","gray","yes","none","free","close","broad","brown","enlarging","club","fibrous","smooth","gray","gray","partial","white","b","cobwebby","chocolate","solitary","waste"
"poisonous","convex","scaly","brown","no","pungent","free","crowded","narrow","white","tapering","rhizomorphs","smooth","smooth","purple","white","universal","yellow","two","zone","brown","solitary","urban"
"edible","sunken","smooth","brown","yes","musty","descending","crowded","broad","yellow","enlarging","rhizomorphs","scaly","scaly","purple","purple","partial","white","two","flaring","orange","solitary","paths"
"edible","convex","smooth","brown","no","none","free","crowded","broad","brown","tapering","rooted","smooth","silky","purple","green","universal","white","one","evanescent","orange","numerous","paths"
"edible","knobbed","smooth","yellow","no","foul","free","distant","narrow","white","tapering","missing","smooth","smooth","purple","purple","partial","yellow","one","sheathing","green","numerous","meadows"
"edible","convex","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","cup","silky","smooth","purple","purple","partial","white","one","pendant","brown","clustered","meadows"
"edible","convex","scaly","purple","yes","spicy","descending","close","broad","brown","enlarging","cup","scaly","scaly","white","purple","partial","white","one","pendant","brown","scattered","meadows"
"edible","convex","smooth","yellow","yes","pungent","free","distant","broad","pink","tapering","cup","smooth","smooth","purple","purple","universal","white","one","pendant","black","clustered","meadows"
"edible","sunken","smooth","gray","yes","almond","free","crowded","narrow","green","tapering","cup","silky","smooth","purple","purple","partial","white","two","pendant","brown","several","grasses"
"edible","convex","fibrous","gray","no","foul","free","close","narrow","black","enlarging","missing","smooth","silky","purple","pink","universal","white","one","none","brown","several","urban"
"edible","flat","grooves","white","yes","anise","free","distant","broad","white","enlarging","missing","scaly","scaly","buff","purple","partial","white","one","pendant","brown","several","grasses"
"edible","knobbed","fibrous","gray","yes","none","attached","distant","broad","chocolate","tapering","missing","fibrous","fibrous","purple","purple","partial","white","one","evanescent","white","several","leaves"
"edible","convex","scaly","white","no","musty","free","close","narrow","black","tapering","cup","smooth","smooth","green","purple","universal","white","two","none","orange","numerous","paths"
"edible","convex","scaly","buff","yes","anise","notched","close","broad","brown","enlarging","cup","smooth","smooth","purple","pink","universal","yellow","one","pendant","green","scattered","meadows"
"edible","convex","fibrous","gray","yes","none","attached","close","narrow","red","enlarging","equal","fibrous","fibrous","brown","purple","partial","brown","b","evanescent","black","several","urban"
"poisonous","convex","scaly","brown","no","pungent","free","crowded","narrow","purple","tapering","rooted","smooth","silky","purple","white","partial","white","two","none","brown","scattered","leaves"
"edible","bell","smooth","white","no","anise","free","close","broad","white","tapering","club","silky","smooth","brown","purple","universal","white","one","none","black","abundant","paths"
"edible","bell","grooves","white","yes","almond","free","close","broad","orange","enlarging","cup","scaly","scaly","gray","purple","partial","orange","b","large","black","abundant","meadows"
"poisonous","convex","smooth","buff","no","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","universal","white","one","pendant","chocolate","several","urban"
"edible","conical","smooth","yellow","no","pungent","free","distant","narrow","white","tapering","cup","silky","silky","purple","purple","partial","white","one","none","white","clustered","meadows"
"edible","convex","smooth","white","no","none","free","close","narrow","black","tapering","club","silky","smooth","purple","purple","universal","white","one","pendant","brown","scattered","meadows"
"edible","bell","smooth","purple","no","anise","notched","close","narrow","orange","enlarging","cup","smooth","smooth","brown","brown","partial","white","b","pendant","black","abundant","urban"
"edible","knobbed","smooth","green","yes","anise","descending","distant","broad","brown","enlarging","missing","scaly","scaly","buff","buff","partial","white","one","large","brown","several","wood"
"edible","convex","scaly","green","yes","almond","attached","close","broad","buff","enlarging","cup","smooth","smooth","purple","purple","partial","white","one","pendant","yellow","numerous","meadows"
"edible","convex","smooth","brown","yes","almond","free","crowded","narrow","purple","tapering","rooted","silky","silky","white","purple","partial","white","two","pendant","yellow","scattered","grasses"
"edible","flat","grooves","brown","yes","anise","free","close","broad","white","enlarging","missing","scaly","scaly","purple","purple","partial","orange","one","flaring","brown","solitary","paths"
"edible","convex","scaly","white","yes","creosote","free","crowded","broad","white","enlarging","cup","smooth","fibrous","purple","cinnamon","partial","white","one","pendant","brown","numerous","meadows"
"edible","conical","smooth","brown","no","none","free","distant","narrow","brown","tapering","equal","fibrous","silky","buff","buff","universal","white","one","pendant","brown","scattered","grasses"
"edible","knobbed","fibrous","cinnamon","yes","anise","attached","close","broad","white","enlarging","rhizomorphs","fibrous","fibrous","purple","purple","partial","brown","one","evanescent","brown","scattered","wood"
"edible","convex","smooth","yellow","no","creosote","notched","crowded","narrow","buff","enlarging","rhizomorphs","smooth","scaly","cinnamon","purple","universal","white","one","sheathing","black","numerous","paths"
"poisonous","convex","smooth","gray","yes","creosote","free","close","narrow","yellow","tapering","rhizomorphs","smooth","smooth","cinnamon","cinnamon","partial","white","one","sheathing","buff","solitary","grasses"
"edible","knobbed","smooth","yellow","no","almond","free","close","narrow","gray","enlarging","missing","silky","silky","pink","purple","universal","white","one","pendant","green","numerous","grasses"
"edible","conical","fibrous","gray","yes","pungent","free","distant","narrow","brown","tapering","cup","smooth","silky","purple","purple","partial","white","one","pendant","white","clustered","paths"
"poisonous","convex","scaly","brown","yes","fishy","descending","close","narrow","white","enlarging","club","smooth","smooth","purple","gray","partial","white","b","large","black","scattered","urban"
"edible","convex","grooves","brown","yes","anise","free","distant","broad","white","enlarging","cup","smooth","scaly","buff","purple","partial","white","two","pendant","black","solitary","grasses"
"edible","flat","grooves","buff","yes","none","free","distant","broad","chocolate","tapering","rhizomorphs","scaly","scaly","green","purple","partial","orange","two","large","orange","abundant","grasses"
"edible","flat","smooth","gray","yes","almond","free","close","broad","chocolate","tapering","cup","silky","smooth","brown","purple","universal","white","one","pendant","black","scattered","grasses"
"edible","bell","fibrous","pink","yes","almond","attached","crowded","broad","white","enlarging","cup","fibrous","fibrous","green","purple","partial","brown","two","pendant","orange","solitary","waste"
"poisonous","flat","scaly","red","no","pungent","notched","close","narrow","pink","tapering","equal","smooth","smooth","red","purple","partial","yellow","b","sheathing","purple","scattered","paths"
"edible","flat","smooth","buff","no","pungent","notched","distant","broad","pink","enlarging","rhizomorphs","smooth","smooth","purple","purple","universal","white","one","pendant","white","scattered","meadows"
"edible","knobbed","grooves","white","yes","foul","free","distant","broad","brown","enlarging","missing","scaly","scaly","pink","purple","partial","white","one","large","brown","several","meadows"
"edible","convex","scaly","gray","yes","almond","notched","crowded","narrow","green","tapering","rhizomorphs","smooth","smooth","purple","purple","partial","white","two","zone","orange","solitary","wood"
"edible","flat","smooth","brown","yes","almond","free","close","narrow","brown","enlarging","rhizomorphs","silky","scaly","purple","brown","universal","white","b","pendant","brown","solitary","urban"
